id|d_code|color|colorname|rgb|description|definition|translation
1|AA-ASH_LAYER|NULL|NULL|NULL|SEDIMENT_LAYERS|NULL|NULL
2|AF-ANIMAL_FIGURINE|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
3|AH-ARROWHEAD|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
4|AK-ANKLET|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
5|AL-ASH_LENS|NULL|NULL|NULL|SEDIMENT_LAYERS|NULL|NULL
6|AS-ASHFILL|NULL|NULL|NULL|SEDIMENT_LAYERS|NULL|NULL
7|AX-AXE|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
8|BA-BONE_ARTIFACT|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
9|BC-BRACELET|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
10|BD-BEAD|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
11|BH-SHELL_BEAD|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
12|BL-BLADE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
13|BL-BLADELET|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
14|BM-BASALT_MORTAR|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
15|BO-BORER|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
16|BR-BURNT_ORE|NULL|NULL|NULL|METALLURGY|NULL|NULL
17|BT-BIFACIAL_TOOL|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
18|BU-BURIAL|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
19|BV-BASALT_VESSEL|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
20|CB-CANAANIAN_BLADE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
21|CC-ROCK_CENTER|NULL|NULL|NULL|FAI_FILE|NULL|NULL
22|CD-COSMETIC_DISH|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
23|CE-CAPSTONE|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
24|CI-COPPER_INGOT|NULL|NULL|NULL|METALLURGY|NULL|NULL
25|CK-CHALK|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
26|CL-CLAY_OBJECT|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
27|CM-COPPER_METAL|NULL|NULL|NULL|METALLURGY|NULL|NULL
28|CN-COIN|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
29|CO-COPPER_OBJECT|NULL|NULL|NULL|METALLURGY|NULL|NULL
30|CP-COPPER_PIN|NULL|NULL|NULL|METALLURGY|NULL|NULL
31|CR-CRUCIBLE|NULL|NULL|NULL|METALLURGY|NULL|NULL
32|CS-CIRCULAR_FEATURE|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
33|CT-CLAY_TOKEN|NULL|NULL|NULL|CERAMICS|NULL|NULL
34|CU-CUPMARK|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
35|CY-COURTYARD|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
36|CZ-CORE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
37|DE-DEBITAGE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
38|DH-DIMPLED_HAMERSTONE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
39|DL-DESTRUCTION_LAYER|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
40|DR-DRILL|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
41|DS-DOOR_SOCKET|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
42|DT-DRESSED_STONE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
43|EF-EPIGRAPHIC_FIND|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
44|ER-EARING|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
45|FB-BELLOWS_TUBE|NULL|NULL|NULL|METALLURGY|NULL|NULL
46|FF-FURNACE_FRAGMENT|NULL|NULL|NULL|METALLURGY|NULL|NULL
47|FG-FIGURINE|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
48|FI-FILL|NULL|NULL|NULL|SEDIMENT_LAYERS|NULL|NULL
49|FK-FLAKE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
50|FL-FLOOR|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
51|FM-FINAL_PRODUCT_MOLD|NULL|NULL|NULL|METALLURGY|NULL|NULL
52|FR-FAUNAL_REMAIN|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
53|FS-FILL_OVER_SURFACE|NULL|NULL|NULL|SEDIMENT_LAYERS|NULL|NULL
54|FT-FOUNDATION_TRENCH|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
55|FU-FURNACE|NULL|NULL|NULL|METALLURGY|NULL|NULL
56|GA-GLASSY_SLAG|NULL|NULL|NULL|METALLURGY|NULL|NULL
57|GC-CYST|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
58|GH-GROOVED_HAMMERSTONE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
59|GL-GLASS|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
60|GR-GROUND_SHOT|NULL|NULL|NULL|FAI_FILE|NULL|NULL
61|GS-GRINDING_SLAB|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
62|GV-GRAVE|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
63|HA-HAND_AXE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
64|HC-HORN_CORE|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
65|HD-HEAD|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
66|HE-HEARTH|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
67|HO-HISTORICAL_OBJECT|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
68|HR-HUMAN_REMAIN|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
69|HS-HAMMERSTONE|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
70|HT-HEMATITE|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
71|IA-IRON_ARTIFACT|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
72|IB-IRON_BLADE|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
73|IC-INSCRIPTION|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
74|IM-INGOT_MOLD|NULL|NULL|NULL|METALLURGY|NULL|NULL
75|IN-INSTALLATION|NULL|NULL|NULL|STRUCTURES_AND_FEATURES|NULL|NULL
76|IO-INCISED_OBJECT|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
77|IV-IVORY|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
78|LA-LEFT_ARM|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
79|LB-LIMESTONE_BRACELET|NULL|NULL|NULL|SMALL_FINDS|NULL|NULL
80|LL-LEFT_LEG|NULL|NULL|NULL|ORGANIC_REMAINS|NULL|NULL
81|LM-LIMESTONE_MORTAR|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
82|LS-LITHIC_SCATTER|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
83|LW-LOOM_WEIGHT|NULL|NULL|NULL|LITHICS_AND_GROUNDSTONES|NULL|NULL
84|MA-MASK|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
