gid|basket|edm|d_code|locus|square|date|area|stratum|site|year|location_field|location_home|crate|barcode|heightinstrument|poleheight|the_geom
2|60002|402|ZA-CHECK_SHOT|NULL|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183922827da93c3476024899|1.475|1.5|01010000A07C7F00003FB3FB9CEC4026412BA567C0F8E54941D342A31780BC4940
3|60003|403|ZA-CHECK_SHOT|NULL|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183924327da93c3476000960|1.475|1.5|01010000A07C7F00004CF5E89CEC402641C317DCBEF8E54941F55F56D976BC4940
4|60004|404|ZA-CHECK_SHOT|NULL|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183929087da93c3476018681|1.475|1.5|01010000A07C7F00005921FEB4FB40264170F2B63EFCE54941A0CE57A108BC4940
5|60005|405|ES-ELEVATION_START|300|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183932597da93c3476008254|1.475|1.5|01010000A07C7F0000786042CDFE4026411CE26958F1E5494147705B5E8B454A40
6|60006|406|ZB-PHOTO|0|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183940577da93c3476020127|1.475|1.5|01010000A07C7F00006CDD1717FE40264138C2FD47F3E54941D0E4B852B3134A40
7|60007|407|EM-ELEVATION_MIDDLE|300|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183948587da93c3476007148|1.475|1.5|01010000A07C7F0000A79BDDD1FE402641454B791CF1E549415A73DC0853484A40
8|60008|408|ZA-CHECK_SHOT|NULL|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183965157da93c3476026049|1.475|1.5|01010000A07C7F000090D37CB2FB4026415E2ADB3EFCE54941BC5C0744A0C74940
9|60009|409|ZA-CHECK_SHOT|NULL|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183967887da93c3476031669|1.375|1.5|01010000A07C7F0000EFE0ABB2FB402641E1D4623FFCE54941771513A886BB4940
10|60010|410|RC-RADIOCARBON_14_SAMPLE|300|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13183979827da93c3476000586|1.375|1.5|01010000A07C7F000040D994D9FE402641BCC914D3F0E549411FB7088EFC464A40
11|60011|411|GS-GRINDING_SLAB|300|NULL|101211|q|NULL|khi|2011|NULL|NULL|NULL|13184039247da93c3476013755|1.375|1.5|01010000A07C7F0000D00028A4FF402641B15BBA09F1E549416D6B5968AD454A40
12|60012|412|ZA-CHECK_SHOT|NULL|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185643667da93c3532020449|1.375|1.49|01010000A07C7F000086EEABB9FB4026414796273EFCE549419BDADB6317BD4940
13|60013|413|EB-ELEVATION_BOTTOM|300|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185645387da93c3532016646|1.375|1.49|01010000A07C7F000036683B1EFF402641FA7FD5F6F0E54941751A065337274A40
14|60014|414|ES-ELEVATION_START|301|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185646547da93c3532013255|1.375|1.49|01010000A07C7F000066D52923FF40264173CAEDF5F0E54941E460BD07B6264A40
15|60015|415|ES-ELEVATION_START|302|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185651377da93c3532024052|1.375|1.49|01010000A07C7F0000E8D3325B0141264172593BD5F0E54941FF071CCFA84E4A40
16|60016|416|ES-ELEVATION_START|303|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185654237da93c3532002333|1.375|1.49|01010000A07C7F00004FBAA15DFD4026417952CB1AF1E54941C930D46A334C4A40
17|60017|417|GS-GRINDING_SLAB|301|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185657457da93c3532026514|1.375|1.49|01010000A07C7F00009064B965FF4026415686CC91F0E54941EEB3D1C4AE3D4A40
18|60018|418|ZB-PHOTO|303|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185659117da93c3532017763|1.375|1.49|01010000A07C7F0000B4E4F160FD402641B8674C1DF1E54941CD28F8EE9F4B4A40
19|60019|419|BL-BLADE|301|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185674767da93c3532025952|1.375|1.49|01010000A07C7F0000E4EB5B9BFF402641CBD5340FF1E5494148D1F17A951F4A40
20|60020|420|ES-ELEVATION_START|304|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185675287da93c3532006681|1.375|1.49|01010000A07C7F000094675EAEFE4026418A665434F2E54941ED9E71A6E1264A40
21|60021|421|FY-CHEMISTRY_SAMPLE|301|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185717167da93c3532027358|1.375|1.49|01010000A07C7F0000E87383FD004126418D2B898FF1E549413D42E7397AFB4940
22|60022|422|ZB-PHOTO|302|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185718747da93c3532021695|1.375|1.49|01010000A07C7F00005D99E0B7FF4026412ADA6633F1E549410DF84F0EBC174A40
23|60023|423|EB-ELEVATION_BOTTOM|301|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185748167da93c3532030604|1.375|1.49|01010000A07C7F0000591F6A22FF40264153793BA8F0E549415A824D6ED1064A40
24|60024|424|ES-ELEVATION_START|305|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185748517da93c3532016085|1.375|1.49|01010000A07C7F00006FBFF819FF402641E26366A9F0E54941E4E9DE751F054A40
25|60025|425|EM-ELEVATION_MIDDLE|303|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185756727da93c3532022250|1.375|1.49|01010000A07C7F0000DBD69A80FD402641D6027B18F1E54941FAD47CBD774A4A40
26|60026|426|RC-RADIOCARBON_14_SAMPLE|304|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185761647da93c3532032219|1.375|1.49|01010000A07C7F00000DD009D7FE402641F16A1400F2E5494172795ADC8F1C4A40
27|60027|427|RM-ROOM|NULL|1|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185774237da93c3532000120|1.375|1.49|01010000A07C7F00003A779AF8054126416115140FF6E549418E7124BE45D04940
28|60028|428|RM-ROOM|NULL|2|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185774607da93c3532029521|1.375|1.49|01010000A07C7F00005E39734C06412641F9BD4D75F4E54941EC2BAC7B16C54940
29|60029|429|RM-ROOM|NULL|3|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185774887da93c3532030646|1.375|1.49|01010000A07C7F0000BD955F2F0E412641DD90EBDBF4E54941639EA42E51E14940
30|60030|430|RM-ROOM|NULL|4|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185775207da93c3532007351|1.375|1.49|01010000A07C7F0000AE2059CE074126413AE812B7F2E54941878C601DE4D24940
31|60031|431|RM-ROOM|NULL|5|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185775527da93c3532011300|1.375|1.49|01010000A07C7F0000B12E13BC0F412641C0AD608DF3E5494101EF93894BE14940
32|60032|432|RM-ROOM|NULL|6|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185775947da93c3532029581|1.375|1.49|01010000A07C7F00005D9ED6FC08412641D16119CDF1E5494128AE95BF8BDF4940
33|60033|433|RM-ROOM|NULL|7|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185776197da93c3532022850|1.375|1.49|01010000A07C7F000052E2E73911412641AEB66264F2E549413AFE201AF7ED4940
34|60034|434|RM-ROOM|NULL|8|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185776467da93c3532019795|1.375|1.49|01010000A07C7F000084C0E3180A412641CAE25962F0E54941E91E92D030D54940
35|60035|435|RM-ROOM|NULL|9|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185776807da93c3532026256|1.375|1.49|01010000A07C7F0000FC5EF98E1241264142EBE134F1E5494148A29DF054FD4940
36|60036|436|FY-CHEMISTRY_SAMPLE|303|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185826567da93c3532028896|1.375|1.49|01010000A07C7F0000B08373BBFD40264120B41E21F1E54941EF164D5235484A40
37|60037|437|RV-RECONSTRUCTABLE_VESSEL|304|NULL|101411|q|NULL|khi|2011|NULL|NULL|NULL|13185840617da93c3532032665|1.375|1.49|01010000A07C7F0000C0200A08FC40264178A7F10EF2E54941C9FDCD4A2BEC4940
