gid|basket|edm|locus|d_code|locus_desc|square|structure|date|area|stratum|site|year|bottom_elevation|the_geom
2|80000|700|300|PS-PERIMETER_START|FI-FILL|NULL|NULL|101211|q|NULL|khi|2011|NULL|01030000A07C7F00000100000005000000EE00363302412641AE79FA7AF0E54941A82F2FA7BF5E4A40CA68CB08FD4026412D4ABF3FF0E54941D65D5CE34E624A4004349560FB40264158D00FBFF2E54941561013847C1E4A402E45875800412641915D0EEBF2E549413DF3BCBA63224A40EE00363302412641AE79FA7AF0E54941A82F2FA7BF5E4A40
3|80001|701|300|PM-PERIMETER_MIDDLE|FI-FILL|NULL|NULL|101211|q|NULL|khi|2011|NULL|01030000A07C7F00000100000005000000C46B2C5B0141264122C66BC1F1E549412E36584C7A3E4A406C4B3647FC40264169948984F1E54941C3A1A9C4FA3E4A4045223C25FD402641461D673DF0E549414F3842E5AD624A40E0B10A3902412641163F7C7AF0E54941C53A31B6C85C4A40C46B2C5B0141264122C66BC1F1E549412E36584C7A3E4A40
4|80002|702|301|PS-PERIMETER_START|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F0000010000000B00000036E9326EFD402641FC54154EF0E5494134537BF5C3354A40F254D15700412641A2E58A75F0E549412E54E87718384A403F252194FF402641F045C502F1E54941DD7953901E294A4092F8895D01412641E0DA8967F1E549411421378AE41E4A400EFB773801412641FD8348ADF1E549411844BFFFE0204A40765CA68FFD402641E734B077F1E54941CA4D0C93C0254A40852E97B1FD4026412943B058F1E549417787C5A66A254A403E3DF83DFE402641536D8151F1E549418D50329FBB224A40B54D336DFE4026416783A7FDF0E54941F478595FED2A4A40A3C87B13FD4026418BF447CCF0E5494128241A79882E4A4036E9326EFD402641FC54154EF0E5494134537BF5C3354A40
5|80003|703|302|PS-PERIMETER_START|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F00000100000005000000975643B200412641C14DEB72F0E549419D23877DB64C4A402FA8CA40024126411189E77DF0E54941A9D6938D2C5E4A40F5417D9C014126416B71D760F1E5494192BAD73E8C464A40A39FFC03004126412F5FA8F8F0E54941DC463128A94B4A40975643B200412641C14DEB72F0E549419D23877DB64C4A40
6|80004|704|303|PS-PERIMETER_START|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F0000010000000700000068B2A0DEFC40264191A229ECF0E549411F524C68DA484A40DCEA6226FE402641D1DF9502F1E549411BD736ABDC3D4A40F6BE2BFDFD402641D7C5C84CF1E549413C91F7A7F92F4A4034E302C6FD4026413862D25BF1E54941C9D3A0C3FC204A404DD0ECB5FD4026416CA4B679F1E549418B9FC18C2D224A402A673992FC402641BD37866DF1E54941AD17D98334354A4068B2A0DEFC40264191A229ECF0E549411F524C68DA484A40
7|80005|705|304|PS-PERIMETER_START|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F0000010000000500000077258F7EFB402641CFFEF6BEF2E54941E4FF04BED71F4A402E612381FC402641BC687E71F1E54941DF1856D1C33F4A40C17E1D5201412641C98FF8B7F1E549416EBA55FBF83D4A40E146887800412641C84DC3EAF2E54941D93F6E787B234A4077258F7EFB402641CFFEF6BEF2E54941E4FF04BED71F4A40
8|80006|706|305|PS-PERIMETER_START|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F0000010000000E000000CD5A2B60FD4026411863BB54F0E54941BE7E6C9F00154A40600086F4FF4026415E561776F0E54941FD3DD12A2F0B4A40841AB6D8FF4026412528D9BBF0E54941C51B77C5AE0A4A4090BE07D3FF40264159AC3C12F1E549416EFAFE13B00C4A401E1DB22C014126413FEC3B42F1E549413DEA717ABF034A404BB9B1430141264179B0C5ADF1E54941C64985BA28004A4024B09C0BFE402641E872397AF1E549413B422ECD6EFD49400CF9D2D3FD40264112521264F1E5494106FEE529BD024A40E70CD645FE40264177DC4B4CF1E54941925096B1E0004A40D8497DBBFE40264198C283E4F0E549413F33616FDC0B4A403A7D35B4FD402641EA494FCBF0E54941AAB70D54F8104A40B8530089FD402641FC010F80F0E549417FE38E667E0F4A40EEFA9A3FFD4026410790466CF0E549412374E64382174A40CD5A2B60FD4026411863BB54F0E54941BE7E6C9F00154A40
9|80007|707|303|PM-PERIMETER_MIDDLE|FI-FILL|NULL|NULL|101411|q|NULL|khi|2011|NULL|01030000A07C7F0000010000000B000000251E1643FD4026410163C76EF0E54941C8AA9AABE8174A40F7223598FD4026415851288DF0E54941507E836B850D4A405E20D6A5FD402641291EBCC9F0E5494146EA8F27A8124A40065B57AAFE402641D70572DDF0E54941193D2226EB0B4A405CE4E0CEFE40264173863DF2F0E54941F042A562A60A4A408F741FC7FE40264120443209F1E54941E07D4074F9084A40DE13F347FE4026410C06D749F1E54941ADB3B29DD8FE49402BDAA0D5FD402641E6D99B66F1E549412E9A7E32C6014A402B3B923BFE402641008BFC87F1E54941DE6DA08481FE4940937FFB78FC4026414DB21F6EF1E54941CB9988DFAE404A40251E1643FD4026410163C76EF0E54941C8AA9AABE8174A40
10|80008|708|306|PS-PERIMETER_START|WA-WALL|NULL|NULL|101511|q|NULL|khi|2011|NULL|01030000A07C7F00000100000005000000099E4A790041264110E676E3F2E54941C53084B17E124A408822CDBDFF402641EDF483DEF2E549418BB8ACC903124A40661DC8D5FF4026418F96B972F2E54941B70E4100E2014A406176AA9B004126417B449684F2E549410AC4505F400A4A40099E4A790041264110E676E3F2E54941C53084B17E124A40
11|80009|709|307|PS-PERIMETER_START|IN-INSTALLATION|NULL|NULL|101511|q|NULL|khi|2011|NULL|01030000A07C7F000001000000050000005B5493E1FC4026415C9F83D2F0E549411DBAFF776B054A402572A80EFE402641272C96F7F0E54941033DFC62600B4A405ABB8A78FD402641CDA2C186F1E5494138E66FC614FE49406D65D331FC402641504E596DF1E54941900E1B8F0A2E4A405B5493E1FC4026415C9F83D2F0E549411DBAFF776B054A40
