id|locusdesc|color|colorname|rgb|description|definition|translation
1|AA-ASH_LAYER|2F4F4F|Violet|79 47 79|SEDIMENT LAYERS|NULL|NULL
2|AL-ASH_LENS|DEDEDE|grey87|222 222 222|SEDIMENT LAYERS|NULL|NULL
3|AS-ASHFILL|6E6E6E|grey43|110 110 110|SEDIMENT LAYERS|NULL|NULL
4|BK-BEDROCK|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
5|BS-BASAL_LAYER|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
6|BU-BURIAL|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
7|CE-CAPSTONE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
8|CS-CIRCULAR_FEATURE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
9|CU-CUPMARK|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
10|CY-COURTYARD|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
11|DL-DESTRUCTION_LAYER|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
12|DS-DOOR_SOCKET|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
13|DT-DRESSED_STONE|NULL|NULL|NULL|STRUCTURES AND FEATURES|cut stone used as architectural element|NULL
14|FI-FILL|7FFF00|Slate Blue|0 127 255|SEDIMENT LAYERS|NULL|NULL
15|FL-FLOOR|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
16|FR-FAUNAL_REMAIN|NULL|NULL|NULL|ORGANIC REMAINS|NULL|NULL
17|FS-FILL_OVER_SURFACE|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
18|FT-FOUNDATION_TRENCH|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
19|FX-SOIL_SAMPLE|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
20|GC-CYST|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
21|GS-GRINDING_SLAB|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
22|GV-GRAVE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
23|HE-HEARTH|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
24|HR-HUMAN_REMAIN|NULL|NULL|NULL|ORGANIC REMAINS|NULL|NULL
25|IN-INSTALLATION|EBCDFF|BlanchedAlmond|255 235 205|STRUCTURES AND FEATURES|NULL|NULL
26|LS-LITHIC_SCATTER|NULL|NULL|NULL|LITHICS AND GROUNDSTONES|NULL|NULL
27|MB-MUDBRICK|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
28|MD-MUDBRICK_FILL|B90FFF|DarkGoldenrod1|255 185 15|SEDIMENT LAYERS|NULL|NULL
29|ML-METALLURGY_LAYER|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
30|OV-OVEN|7F50FF|coral|255 127 80|STRUCTURES AND FEATURES|NULL|NULL
31|PA-PERIMETER_ARTIFACT|NULL|NULL|NULL|FAI FILE|polygon that encloses an artifact or artifact concentration within a locus|NULL
32|PB-PERIMETER_BOTTOM|0|black|0 0 0|FAI FILE|closes a locus polygon|NULL
33|PH-POST_HOLE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
34|PI-PIT|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
35|PL-PLASTER|FFFFF0|azure|240 255 255|SEDIMENT LAYERS|NULL|NULL
36|PP-PILLAR|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
37|PM-PERIMETER_MIDDLE|NULL|NULL|NULL|FAI FILE|redefines shape of locus polygon gives new basket # to locus|NULL
38|PS-PERIMETER_START|NULL|NULL|NULL|FAI FILE|opens a locus polygon|NULL
39|PV-PAVEMENT|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
40|PX-PISE|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
41|PZ-PLATFORM|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
42|RM-ROOM|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
43|RR-ROCK_PERIMETER|NULL|NULL|NULL|STRUCTURES AND FEATURES|defines a rock feature|NULL
44|RT-ROBBER_TRENCH|73558B|burlywood4|139 115 85|STRUCTURES AND FEATURES|NULL|NULL
45|SI-SIEVE|NULL|NULL|NULL|MISCELLANEOUS|NULL|NULL
46|SK-SLAG_LAYER|NULL|NULL|NULL|METALLURGY|NULL|NULL
47|SR-STERILE_DEPOSIT|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
48|SS-STANDING_STONE|FF00FF|yellow|255 255 0|STRUCTURES AND FEATURES|NULL|NULL
49|ST-STRUCTURE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
50|SU-SURFACE|E68CF0|khaki|240 230 140|STRUCTURES AND FEATURES|NULL|NULL
51|TH-THRESHOLD|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
52|TL-TOP_SOIL|C0C0C0|Silver|192 192 192|SEDIMENT LAYERS|NULL|NULL
53|VX-VESSEL_SCATTER|NULL|NULL|NULL|CERAMICS|NULL|NULL
54|WA-WALL|B0B0B0|grey69|176 176 176|STRUCTURES AND FEATURES|NULL|NULL
55|WC-WALL_COLLAPSE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
56|WD-WOOD|NULL|NULL|NULL|ORGANIC REMAINS|NULL|NULL
57|WF-WALL_COLLAPSE_FILL|NULL|NULL|NULL|SEDIMENT LAYERS|NULL|NULL
58|WP-WOOD_COLLAPSE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
59|ZP-ROCK_PILE|NULL|NULL|NULL|STRUCTURES AND FEATURES|NULL|NULL
